Year,City,Country,City GDP/capita,Unemployment %,PM2.5 (μg/m³),Population (M)
2023,buenos-aires,Argentina,"15.782,00",6.2%,"15,2","15,30"
2023,sao-paulo,Brazil,"14.475,00",9.1%,"29,50","22,50"
2023,rio-de-janeiro,Brazil,"13.142,00",9.8%,"19,10","13,60"
2023,brasilia,Brazil,"15.999,00",8.3%,"13,50","4,70"
2023,salvador,Brazil,"8.761,00",13.1%,"16,00","3,90"
2023,fortaleza,Brazil,"838,00",12.5%,"15,40","4,20"
2023,belo-horizonte,Brazil,"10.951,00",10.1%,"17,50","6,00"
2023,curitiba,Brazil,"12.189,00",8.8%,"14,20","3,60"
2023,recife,Brazil,"9.047,00",11.8%,"16,50","4,10"
2023,porto-alegre,Brazil,"11.618,00",9.2%,"14,90","4,30"
2023,santiago,Chile,"22.176,00",8.5%,"22,80","7,00"
2023,bogota,Colombia,"10.981,00",10.8%,"18,40","11,20"
2023,mexico-city,Mexico,"20.426,00",3.5%,"23,70","22,00"
2023,lima,Peru,"12.941,00",7.2%,"20,50","11,10"
2023,montevideo,Uruguay,"25.408,00",8.9%,"11,80","1,80"
2024,buenos-aires,Argentina,"18.117,00",7.2%,"14,50","15,40"
2024,sao-paulo,Brazil,"14.703,00",8.5%,"28,00","22,60"
2024,rio-de-janeiro,Brazil,"13.349,00",9.2%,"18,40","13,70"
2024,brasilia,Brazil,"16.251,00",7.8%,"12,80","4,80"
2024,salvador,Brazil,"8.899,00",12.4%,"15,20","3,90"
2024,fortaleza,Brazil,"8.512,00",11.8%,"14,60","4,20"
2024,belo-horizonte,Brazil,"11.124,00",9.5%,"16,80","6,10"
2024,curitiba,Brazil,"12.381,00",8.2%,"13,50","3,70"
2024,recife,Brazil,"9.189,00",11.2%,"15,80","4,10"
2024,porto-alegre,Brazil,"11.801,00",8.7%,"14,20","4,30"
2024,santiago,Chile,"2.277,00",7.8%,"21,30","7,10"
2024,bogota,Colombia,"11.442,00",10%,"17,60","11,30"
2024,mexico-city,Mexico,"21.111,00",3.2%,"22,30","22,10"
2024,lima,Peru,"13.472,00",6.5%,"19,70","11,20"
2024,montevideo,Uruguay,"26.176,00",8.4%,"11,20","1,80"